rank,prev_rank,name,league,off,def,spi
550,540,Indy Eleven,United Soccer League,0.69,1.81,21.03
551,532,Austin Bold FC,United Soccer League,0.92,2.19,20.99
552,544,Birmingham Legion FC,United Soccer League,0.81,2.01,20.93
553,556,Hamilton Academical,Scottish Premiership,0.71,1.87,20.76
554,541,Orange County SC,United Soccer League,0.69,1.85,20.51
555,560,Charleston Battery,United Soccer League,0.72,1.91,20.35
556,568,Yokohama FC,Japanese J League,0.77,2.0,20.26
557,563,Reggiana,Italy Serie B,0.71,1.91,19.98
558,558,Burton Albion,English League One,0.85,2.14,19.97
559,555,St Johnstone,Scottish Premiership,0.57,1.69,19.87
560,557,El Paso Locomotive FC,United Soccer League,0.6,1.75,19.56
561,565,Kalmar FF,Swedish Allsvenskan,0.7,1.97,19.11
562,564,St Mirren,Scottish Premiership,0.57,1.75,19.09
563,572,Sandefjord,Norwegian Tippeligaen,0.65,1.89,19.02
564,567,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
565,561,Ross County,Scottish Premiership,0.67,1.95,18.63
566,562,Milton Keynes Dons,English League One,0.64,1.9,18.56
567,569,Saint Louis FC,United Soccer League,0.66,1.99,17.9
568,577,Miami FC,United Soccer League,0.81,2.26,17.9
569,586,North Carolina FC,United Soccer League,0.71,2.1,17.73
570,571,Falkenbergs FF,Swedish Allsvenskan,0.71,2.1,17.62
571,585,LA Galaxy II,United Soccer League,0.86,2.38,17.4
572,573,Shonan Bellmare,Japanese J League,0.6,1.92,17.39
573,574,Central Coast Mariners,Australian A-League,0.78,2.26,17.34
574,575,Shrewsbury Town,English League One,0.56,1.85,17.3
575,578,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
576,570,Charlotte Independence,United Soccer League,0.7,2.14,16.94
577,580,Cheltenham Town,English League Two,0.56,1.89,16.93
578,576,Colchester United,English League Two,0.57,1.91,16.92
579,579,Plymouth Argyle,English League One,0.67,2.1,16.83
580,582,IK Start,Norwegian Tippeligaen,0.59,2.04,15.88
581,581,Accrington Stanley,English League One,0.62,2.11,15.64
582,587,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
583,583,Real Monarchs SLC,United Soccer League,0.6,2.11,15.38
584,592,AFC Wimbledon,English League One,0.59,2.1,15.12
585,588,Oldham Athletic,English League Two,0.67,2.27,15.04
586,593,Exeter City,English League Two,0.6,2.14,14.93
587,591,Aalesund,Norwegian Tippeligaen,0.8,2.54,14.7
588,584,Bolton,English League Two,0.56,2.1,14.54
589,589,Northampton Town,English League One,0.55,2.1,14.4
590,594,Mjondalen,Norwegian Tippeligaen,0.54,2.1,14.13
591,603,Tulsa Roughnecks,United Soccer League,0.58,2.19,14.1
592,604,Hartford Athletic,United Soccer League,0.71,2.46,13.97
593,609,Memphis 901 FC,United Soccer League,0.68,2.39,13.95
594,597,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
595,590,Bristol Rovers,English League One,0.51,2.08,13.82
596,599,Portland Timbers 2,United Soccer League,0.84,2.72,13.62
597,606,Las Vegas Lights FC,United Soccer League,0.64,2.36,13.61
598,595,Rochdale,English League One,0.53,2.13,13.59
599,602,Bradford City,English League Two,0.49,2.07,13.58
600,598,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
601,596,Mansfield Town,English League Two,0.57,2.23,13.45
602,611,Crewe Alexandra,English League One,0.46,2.03,13.34
603,601,Leyton Orient,English League Two,0.55,2.22,13.23
604,605,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
605,607,Tacoma Defiance,United Soccer League,0.66,2.49,12.71
606,600,Port Vale,English League Two,0.41,1.99,12.6
607,614,Crawley Town,English League Two,0.47,2.15,12.43
608,610,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
609,608,Colorado Springs Switchbacks FC,United Soccer League,0.51,2.26,12.01
610,613,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
611,621,Swope Park Rangers,United Soccer League,0.62,2.57,11.31
612,612,New York Red Bulls II,United Soccer League,0.7,2.79,10.89
613,616,Barrow,English League Two,0.43,2.24,10.7
614,615,Oklahoma City Energy FC,United Soccer League,0.4,2.18,10.65
615,618,Scunthorpe,English League Two,0.4,2.19,10.58
616,617,Forest Green Rovers,English League Two,0.35,2.12,10.37
617,622,Atlanta United 2,United Soccer League,0.58,2.64,10.2
618,619,Tranmere Rovers,English League Two,0.35,2.13,10.08
619,620,Southend United,English League Two,0.41,2.34,9.66
620,624,Walsall,English League Two,0.35,2.28,9.09
621,626,Grimsby Town,English League Two,0.35,2.29,9.0
622,625,Stevenage,English League Two,0.3,2.18,8.92
623,623,Cambridge United,English League Two,0.29,2.17,8.76
624,627,Rio Grande Valley FC Toros,United Soccer League,0.37,2.38,8.71
625,628,Morecambe,English League Two,0.37,2.42,8.33
626,630,Newport County,English League Two,0.2,2.11,7.52
627,629,Carlisle United,English League Two,0.25,2.31,7.18
628,631,Loudoun United FC,United Soccer League,0.34,2.65,6.51
629,632,Harrogate Town,English League Two,0.2,2.33,6.19
630,633,Bethlehem Steel FC,United Soccer League,0.39,3.02,5.4
