rank,prev_rank,name,league,off,def,spi
264,267,Monza,Italy Serie B,1.33,1.48,42.42
265,281,Heracles,Dutch Eredivisie,1.35,1.51,42.28
266,238,Kashima Antlers,Japanese J League,1.27,1.42,42.24
267,254,FC Tambov,Russian Premier Liga,1.14,1.28,42.24
268,272,Cerezo Osaka,Japanese J League,1.1,1.23,42.19
269,276,Heerenveen,Dutch Eredivisie,1.45,1.64,42.1
270,263,Los Angeles Galaxy,Major League Soccer,1.49,1.68,41.89
271,280,Arsenal Sarandi,Argentina Primera Division,1.28,1.45,41.78
272,333,Konyaspor,Turkish Turkcell Super Lig,1.24,1.41,41.62
273,298,Servette,Swiss Raiffeisen Super League,1.36,1.56,41.48
274,285,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
275,279,Maritimo,Portuguese Liga,1.13,1.29,41.44
276,268,Djurgardens IF,Swedish Allsvenskan,1.22,1.4,41.41
277,286,Colorado Rapids,Major League Soccer,1.43,1.64,41.4
278,282,FC Groningen,Dutch Eredivisie,1.11,1.27,41.39
279,273,Kasimpasa,Turkish Turkcell Super Lig,1.29,1.49,41.38
280,294,Orlando City SC,Major League Soccer,1.34,1.54,41.3
281,287,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
282,289,Sporting Kansas City,Major League Soccer,1.38,1.6,41.18
283,293,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
284,321,New England Revolution,Major League Soccer,1.26,1.47,40.85
285,299,Querétaro,Mexican Primera Division Torneo Apertura,1.22,1.43,40.82
286,297,Mallorca,Spanish Segunda Division,1.09,1.28,40.82
287,278,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.27,1.49,40.81
288,291,SC Farense,Portuguese Liga,1.19,1.4,40.81
289,306,Hammarby,Swedish Allsvenskan,1.5,1.76,40.77
290,311,Leganes,Spanish Segunda Division,1.18,1.39,40.74
291,292,Goztepe,Turkish Turkcell Super Lig,1.32,1.55,40.74
292,264,AaB,Danish SAS-Ligaen,1.16,1.37,40.66
293,310,Hull City,English League One,1.25,1.48,40.64
294,304,Antalyaspor,Turkish Turkcell Super Lig,1.17,1.38,40.52
295,314,Goiás,Brasileiro Série A,1.23,1.46,40.47
296,309,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.29,1.53,40.36
297,301,Patronato,Argentina Primera Division,1.2,1.43,40.35
298,308,Luton Town,English League Championship,1.13,1.35,40.32
299,303,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
300,266,Arizona United,United Soccer League,1.56,1.85,40.23
301,307,Coventry City,English League Championship,1.17,1.41,40.15
302,317,Rotherham United,English League Championship,1.13,1.37,40.0
303,302,FC Luzern,Swiss Raiffeisen Super League,1.29,1.56,39.89
304,338,PEC Zwolle,Dutch Eredivisie,1.35,1.63,39.83
305,288,Boavista,Portuguese Liga,1.08,1.31,39.76
306,296,Coritiba,Brasileiro Série A,1.06,1.29,39.7
307,313,Banfield,Argentina Primera Division,0.98,1.2,39.66
308,305,Belenenses,Portuguese Liga,1.04,1.28,39.61
